_unit_id,_created_at,_golden,_canary,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,choose_path,end,path_1,path_2,path_3,path_4,path_5,start
414407270,2/15/2014 21:11:06,true,false,1199741434,,2/15/2014 21:10:57,false,neodev,1.0,20073525,ROU,23,Iasi,79.112.57.99,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:11:47,true,false,1199741733,,2/15/2014 21:11:36,false,clixsense,1.0,19086724,DEU,04,Hamburg,85.177.209.138,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:11:49,true,false,1199741744,,2/15/2014 21:11:06,false,neodev,1.0,21463130,TUR,68,Ankara,88.230.163.62,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:12:09,true,false,1199741896,,2/15/2014 21:12:02,false,neodev,1.0,20073525,ROU,23,Iasi,79.112.57.99,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:12:20,true,false,1199741964,,2/15/2014 21:12:08,false,gptbanks,1.0,16389317,IND,02,Hyderabad,124.123.93.202,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:12:34,true,false,1199742059,,2/15/2014 21:12:18,false,gptbanks,1.0,19434128,CAN,"","",23.229.5.117,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:12:36,true,false,1199742092,,2/15/2014 21:12:22,false,pforads,1.0,17445146,ROU,14,Constanta,5.14.184.68,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:12:48,true,false,1199742178,,2/15/2014 21:12:36,false,clixsense,1.0,18757679,ROU,10,Bucharest,188.25.110.146,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:13:15,true,false,1199742408,,2/15/2014 21:12:36,false,getpaid,1.0,17526441,IND,02,Hyderabad,124.123.158.96,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
414407270,2/15/2014 21:13:17,true,false,1199742433,,2/15/2014 21:13:03,false,gptbanks,1.0,15599995,IND,02,Hyderabad,49.204.147.230,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,Electrical Connectors,-&gt;Terminal block -&gt;Transversely slotted barrel terminal -&gt;,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Method and apparatus for measuring photoreceptor voltage potential using -&gt;Adaptive bias control for tri-level xerography -&gt;Image recording apparatus detecting and controlling ima,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Cycle-up control scheme -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for stabilizing electrophotographic images -&gt;Apparatus ,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus using measured data to adjust the operation level -&gt;Image formation apparatus including means for detecting and controlling -&gt;Method of and apparatus for s,-&gt;Accurate dynamic control of the potential on the photoconductor surface -&gt;Image forming apparatus provided with surface potential control device -&gt;Digitally regulated power supply for use in electrostatic  transfer -&gt;Apparatus for automatically regulati,Cutting and clamping sleeve contact 
